support,itemsets
0.02009661835748792,"frozenset({'frozen smoothie', 'french fries'})"
0.02743961352657005,"frozenset({'frozen vegetables', 'french fries'})"
0.04077294685990338,"frozenset({'green tea', 'french fries'})"
0.02009661835748792,"frozenset({'ground beef', 'french fries'})"
0.033816425120772944,"frozenset({'milk', 'french fries'})"
0.04792270531400966,"frozenset({'french fries', 'mineral water'})"
0.028019323671497585,"frozenset({'pancakes', 'french fries'})"
0.03980676328502415,"frozenset({'spaghetti', 'french fries'})"
0.020676328502415457,"frozenset({'milk', 'frozen smoothie'})"
0.028792270531400967,"frozenset({'frozen smoothie', 'mineral water'})"
0.02241545893719807,"frozenset({'spaghetti', 'frozen smoothie'})"
0.020869565217391306,"frozenset({'frozen vegetables', 'green tea'})"
0.024541062801932367,"frozenset({'frozen vegetables', 'ground beef'})"
0.03400966183574879,"frozenset({'frozen vegetables', 'milk'})"
0.050434782608695654,"frozenset({'frozen vegetables', 'mineral water'})"
0.023768115942028985,"frozenset({'frozen vegetables', 'shrimp'})"
0.03903381642512077,"frozenset({'frozen vegetables', 'spaghetti'})"
0.022608695652173914,"frozenset({'frozen vegetables', 'tomatoes'})"
0.025120772946859903,"frozenset({'grated cheese', 'mineral water'})"
0.02280193236714976,"frozenset({'spaghetti', 'grated cheese'})"
0.021256038647342997,"frozenset({'ground beef', 'green tea'})"
0.024927536231884057,"frozenset({'milk', 'green tea'})"
0.043091787439613526,"frozenset({'green tea', 'mineral water'})"
0.02357487922705314,"frozenset({'pancakes', 'green tea'})"
0.03845410628019324,"frozenset({'spaghetti', 'green tea'})"
0.02280193236714976,"frozenset({'herb & pepper', 'ground beef'})"
0.03169082125603865,"frozenset({'milk', 'ground beef'})"
0.058743961352657005,"frozenset({'ground beef', 'mineral water'})"
0.020289855072463767,"frozenset({'ground beef', 'olive oil'})"
0.020869565217391306,"frozenset({'pancakes', 'ground beef'})"
0.05584541062801932,"frozenset({'spaghetti', 'ground beef'})"
0.024734299516908212,"frozenset({'herb & pepper', 'mineral water'})"
0.02318840579710145,"frozenset({'spaghetti', 'herb & pepper'})"
0.021256038647342997,"frozenset({'honey', 'mineral water'})"
0.03246376811594203,"frozenset({'low fat yogurt', 'mineral water'})"
0.021449275362318842,"frozenset({'spaghetti', 'low fat yogurt'})"
0.06782608695652174,"frozenset({'milk', 'mineral water'})"
0.024154589371980676,"frozenset({'milk', 'olive oil'})"
0.02318840579710145,"frozenset({'pancakes', 'milk'})"
0.025507246376811593,"frozenset({'milk', 'shrimp'})"
0.021449275362318842,"frozenset({'milk', 'soup'})"
0.05004830917874396,"frozenset({'spaghetti', 'milk'})"
0.03845410628019324,"frozenset({'olive oil', 'mineral water'})"
0.04869565217391304,"frozenset({'pancakes', 'mineral water'})"
0.02280193236714976,"frozenset({'salmon', 'mineral water'})"
0.033429951690821254,"frozenset({'shrimp', 'mineral water'})"
0.033429951690821254,"frozenset({'soup', 'mineral water'})"
0.08502415458937199,"frozenset({'spaghetti', 'mineral water'})"
0.034589371980676326,"frozenset({'mineral water', 'tomatoes'})"
0.027632850241545895,"frozenset({'turkey', 'mineral water'})"
0.02782608695652174,"frozenset({'whole wheat rice', 'mineral water'})"
0.03246376811594203,"frozenset({'spaghetti', 'olive oil'})"
0.036135265700483095,"frozenset({'pancakes', 'spaghetti'})"
0.03033816425120773,"frozenset({'spaghetti', 'shrimp'})"
0.020676328502415457,"frozenset({'spaghetti', 'soup'})"
0.02995169082125604,"frozenset({'spaghetti', 'tomatoes'})"
0.023768115942028985,"frozenset({'spaghetti', 'turkey'})"
0.020289855072463767,"frozenset({'spaghetti', 'whole wheat rice'})"
0.02009661835748792,"frozenset({'milk', 'chocolate', 'mineral water'})"
0.022995169082125604,"frozenset({'spaghetti', 'chocolate', 'mineral water'})"
0.020676328502415457,"frozenset({'spaghetti', 'mineral water', 'eggs'})"
0.024734299516908212,"frozenset({'spaghetti', 'ground beef', 'mineral water'})"
0.022608695652173914,"frozenset({'spaghetti', 'mineral water', 'milk'})"
